Year1,Year2,Difference,,So luong bao,Year distance,,,,Year,Yield,So luong,Scale,Duration,Distance,,Scale,Yield,Duration,Season,Distance,Year
2016,2010,6.2,,,6,,,,,,,,,,,,,,,,
2016,2011,1.9,,,5,,,,,,,,,,,,,,,,
2016,2012,2.1,,,4,,,,,,,,,,,,,,,,
2016,2013,4.1,,,3,,,,,,,,,,,,,,,,
2016,2014,0,,,2,,,,,,,,,,,,,,,,
2016,2015,0.3,,,1,,,,,,,,,,,,,,,,
2017,2000,10,,,17,,,,,,,,,,,,,,,,
2017,2001,11.2,,,16,,,,,,,,,,,,,,,,
2017,2002,8.3,,,15,,,,,,,,,,,,,,,,
2017,2003,7.7,,,14,,,,,,,,,,,,,,,,
2017,2004,4.8,,,13,,,,,,,,,,,,,,,,
2017,2005,5.4,,,12,,,,,,,,,,,,,,,,
2017,2006,4.2,,,11,,,,,,,,,,,,,,,,
2017,2007,8.2,,,10,,,,,,,,,,,,,,,,
2017,2008,3.6,,,9,,,,,,,,,,,,,,,,
2017,2009,3.5,,,8,,,,,,,,,,,,,,,,
2017,2010,6.4,,,7,,,,,,,,,,,,,,,,
2017,2011,2.1,,,6,,,,,,,,,,,,,,,,
2017,2012,2.3,,,5,,,,,,,,,,,,,,,,
2017,2013,4.3,,,4,,,,,,,,,,,,,,,,
2017,2014,0.2,,,3,,,,,,,,,,,,,,,,
2017,2015,0.5,,,2,,,,,,,,,,,,,,,,
2017,2016,0.2,,,1,,,,,,,,,,,,,,,,
2018,2000,11,,,18,,,,,,,,,,,,,,,,
2018,2001,12.2,,,17,,,,,,,,,,,,,,,,
2018,2002,9.3,,,16,,,,,,,,,,,,,,,,
2018,2003,8.7,,,15,,,,,,,,,,,,,,,,
2018,2004,5.8,,,14,,,,,,,,,,,,,,,,
2018,2005,6.4,,,13,,,,,,,,,,,,,,,,
2018,2006,5.2,,,12,,,,,,,,,,,,,,,,
2018,2007,9.2,,,11,,,,,,,,,,,,,,,,
2018,2008,4.6,,,10,,,,,,,,,,,,,,,,
2018,2009,4.5,,,9,,,,,,,,,,,,,,,,
2018,2010,7.4,,,8,,,,,,,,,,,,,,,,
2018,2011,3.1,,,7,,,,,,,,,,,,,,,,
2018,2012,3.3,,,6,,,,,,,,,,,,,,,,
2018,2013,5.3,,,5,,,,,,,,,,,,,,,,
2018,2014,1.2,,,4,,,,,,,,,,,,,,,,
2018,2015,1.5,,,3,,,,,,,,,,,,,,,,
2018,2016,1.2,,,2,,,,,,,,,,,,,,,,
